DMA_COL,nielsen_abbrev,nielsen_food,iri,tvhh
TUCSON (SIERRA VISTA),PHO,PHOENIX FOOD,RUS,442020
TULSA,OKL,OKLAHOMA CITY TULSA FOOD,TUL,529100
TWIN FALLS,RUS,REMAINING US FOOD,RUS,65800
TYLER LONGVIEW(LFKN&NCGD),RUS,REMAINING US FOOD,RUS,271400
UTICA,SYR,SYRACUSE FOOD,RUS,104750
VICTORIA,HOU,HOUSTON FOOD,RUS,31540
WACO TEMPLE BRYAN,RUS,REMAINING US FOOD,RUS,353190
WASHINGTON DC (HAGRSTWN),WAS,WASHINGTON DC FOOD,BAL,2360180
WATERTOWN,RUS,REMAINING US FOOD,RUS,93090
WAUSAU RHINELANDER,RUS,REMAINING US FOOD,RUS,181280
WEST PALM BEACH FT  PIERCE,MIA,MIAMI FOOD,RUS,788020
WHEELING STEUBENVILLE,PIT,PITTSBURGH FOOD,RUS,133120
WICHITA FALLS & LAWTON,RUS,REMAINING US FOOD,RUS,160540
WICHITA HUTCHINSON PLUS,RUS,REMAINING US FOOD,WIC,454590
WILKES BARRE SCRANTON,RUS,REMAINING US FOOD,HAI,590740
WILMINGTON,PHI,PHILADELPHIA FOOD,RUS,190730
YAKIMA PASCO RCHLND KNNWCK,RUS,REMAINING US FOOD,RUS,230010
YOUNGSTOWN,CLE,CLEVELAND FOOD,RUS,263850
YUMA EL CENTRO,PHO,PHOENIX FOOD,RUS,112850
ZANESVILLE,COL,#N/A,RUS,33140
