DMA (as appears in various data files),"""Master"" DMA",Test
COLORADO SPRINGS-PUEBLO,Colorado Springs-Pueblo,
Colorado Springs-Pueblo CO,Colorado Springs-Pueblo,
Columbia SC,Columbia SC,
COLUMBIA SC,Columbia SC,
Columbia SC,Columbia SC,
Columbia/Jefferson City,Columbia-Jefferson City,
Columbia-Jefferson City,Columbia-Jefferson City,
COLUMBIA-JEFFERSON CITY,Columbia-Jefferson City,
Columbia-Jefferson City MO,Columbia-Jefferson City,
Columbia-Sc,Columbia SC,
Columbus GA,Columbus GA (Opelika AL),
Columbus GA (Opelika AL),Columbus GA (Opelika AL),
COLUMBUS GA (OPELIKA AL),Columbus GA (Opelika AL),
Columbus OH,Columbus OH,
COLUMBUS OH,Columbus OH,
Columbus OH,Columbus OH,
Columbus/Tupelo/West Point,Columbus-Tupelo-W Pnt-Hstn,
Columbus-Ga,Columbus GA (Opelika AL),
Columbus-Oh,Columbus OH,
Columbus-Tupelo-W Pnt-Hstn,Columbus-Tupelo-W Pnt-Hstn,
COLUMBUS-TUPELO-W PNT-HSTN,Columbus-Tupelo-W Pnt-Hstn,
Columbus-Tupelo-West Point MS,Columbus-Tupelo-W Pnt-Hstn,
Corpus Christi,Corpus Christi,
CORPUS CHRISTI,Corpus Christi,
Corpus Christi TX,Corpus Christi,
Dallas/Fort Worth,Dallas-Ft. Worth,
Dallas-Ft. Worth,Dallas-Ft. Worth,
DALLAS-FT. WORTH,Dallas-Ft. Worth,
Dallas-Ft. Worth TX,Dallas-Ft. Worth,
Davenport/Rock Island/Moline,Davenport-R.Island-Moline,
DavenportIA-Rock Island-MolineIL,Davenport-R.Island-Moline,
Davenport-R.Island-Moline,Davenport-R.Island-Moline,
DAVENPORT-R.ISLAND-MOLINE,Davenport-R.Island-Moline,
DAYTON,Dayton OH,
Dayton OH,Dayton OH,
Dayton OH,Dayton OH,
Denver,Denver,
DENVER CO,Denver,
Denver CO,Denver,
Des Moines/Ames,Des Moines-Ames,
Des Moines-Ames,Des Moines-Ames,
DES MOINES-AMES,Des Moines-Ames,
Des Moines-Ames IA,Des Moines-Ames,
Detroit,Detroit,
DETROIT,Detroit,
Detroit MI,Detroit,
Dothan,Dothan,
DOTHAN,Dothan,
Dothan AL,Dothan,
Duluth MN-Superior WI,Duluth-Superior,
Duluth/Superior,Duluth-Superior,
Duluth-Superior,Duluth-Superior,
DULUTH-SUPERIOR,Duluth-Superior,
El Paso,El Paso (Las Cruces),
El Paso (Las Cruces),El Paso (Las Cruces),
EL PASO (LAS CRUCES),El Paso (Las Cruces),
El Paso TX,El Paso (Las Cruces),
Elmira,Elmira (Corning),
Elmira (Corning),Elmira (Corning),
ELMIRA (CORNING),Elmira (Corning),
Elmira NY,Elmira (Corning),
Erie,Erie,
ERIE,Erie,
Erie PA,Erie,
Eugene,Eugene,
EUGENE,Eugene,
Eugene OR,Eugene,
Eureka,Eureka,
EUREKA,Eureka,
Eureka CA,Eureka,
Evansville,Evansville,
EVANSVILLE,Evansville,
Evansville IN,Evansville,
Fairbanks,Fairbanks,
FAIRBANKS,Fairbanks,
Fairbanks AK,Fairbanks,
Fargo/Valley City,Fargo-Valley City,
Fargo-Valley City,Fargo-Valley City,
FARGO-VALLEY CITY,Fargo-Valley City,
Fargo-Valley City ND,Fargo-Valley City,
