DMA (as appears in various data files),"""Master"" DMA",Test
SPRINGFIELD MO,Springfield MO,
Springfield MO,Springfield MO,
Springfield/Holyoke,Springfield-Holyoke,
Springfield-Holyoke,Springfield-Holyoke,
SPRINGFIELD-HOLYOKE,Springfield-Holyoke,
Springfield-Holyoke MA,Springfield-Holyoke,
Springfield-Mo,Springfield MO,
St. Joseph,St. Joseph,
ST. JOSEPH,St. Joseph,
St. Joseph MO,St. Joseph,
St. Louis,St. Louis,
ST. LOUIS,St. Louis,
St. Louis MO,St. Louis,
Syracuse,Syracuse,
SYRACUSE,Syracuse,
Syracuse NY,Syracuse,
Tallahassee FL-Thomasville GA,Tallahassee-Thomasville,
Tallahassee/Thomasville,Tallahassee-Thomasville,
Tallahassee-Thomasville,Tallahassee-Thomasville,
TALLAHASSEE-THOMASVILLE,Tallahassee-Thomasville,
Tampa/Saint Petersburg,Tampa-St. Pete (Sarasota),
Tampa-St Petersburg (Sarasota) FL,Tampa-St. Pete (Sarasota),
Tampa-St. Pete (Sarasota),Tampa-St. Pete (Sarasota),
TAMPA-ST. PETE (SARASOTA),Tampa-St. Pete (Sarasota),
Terre Haute,Terre Haute,
TERRE HAUTE,Terre Haute,
Terre Haute IN,Terre Haute,
Toledo,Toledo,
TOLEDO,Toledo,
Toledo OH,Toledo,
Topeka,Topeka,
TOPEKA,Topeka,
Topeka KS,Topeka,
Traverse City/Cadillac,Traverse City-Cadillac,
Traverse City-Cadillac,Traverse City-Cadillac,
TRAVERSE CITY-CADILLAC,Traverse City-Cadillac,
Traverse City-Cadillac MI,Traverse City-Cadillac,
Tri-Cities TN-VA,Tri-Cities TN-VA,
TRI-CITIES TN-VA,Tri-Cities TN-VA,
Tri-Cities TN-VA,Tri-Cities TN-VA,
Tri-Cities-Tn-Va,Tri-Cities TN-VA,
Tucson (Sierra Vista),Tucson (Sierra Vista),
TUCSON (SIERRA VISTA),Tucson (Sierra Vista),
Tucson (Sierra Vista) AZ,Tucson (Sierra Vista),
Tucson/Sierra Vista,Tucson (Sierra Vista),
TULSA,Tulsa OK,
Tulsa OK,Tulsa OK,
Tulsa OK,Tulsa OK,
Twin Falls,Twin Falls,
TWIN FALLS,Twin Falls,
Twin Falls ID,Twin Falls,
Tyler/Longview/Lufkin/Nacogdoches,Tyler-Longview(Lfkn&Ncgd),
Tyler-Longview(Lfkn&Ncgd),Tyler-Longview(Lfkn&Ncgd),
TYLER-LONGVIEW(LFKN&NCGD),Tyler-Longview(Lfkn&Ncgd),
Tyler-Longview(Nacogdoches) TX,Tyler-Longview(Lfkn&Ncgd),
Unknown,,
Utica,Utica,
UTICA,Utica,
Utica NY,Utica,
Victoria,Victoria,
VICTORIA,Victoria,
Victoria TX,Victoria,
Waco/Temple/Bryan,Waco-Temple-Bryan,
Waco-Temple-Bryan,Waco-Temple-Bryan,
WACO-TEMPLE-BRYAN,Waco-Temple-Bryan,
Waco-Temple-Bryan TX,Waco-Temple-Bryan,
Washington Dc,Washington DC (Hagrstwn),
Washington DC (Hagerstown MD),Washington DC (Hagrstwn),
Washington DC (Hagrstwn),Washington DC (Hagrstwn),
WASHINGTON DC (HAGRSTWN),Washington DC (Hagrstwn),
Watertown,Watertown,
WATERTOWN,Watertown,
Watertown NY,Watertown,
Wausau/Rhinelander,Wausau-Rhinelander,
Wausau-Rhinelander,Wausau-Rhinelander,
WAUSAU-RHINELANDER,Wausau-Rhinelander,
Wausau-Rhinelander WI,Wausau-Rhinelander,
West Palm Beach FL,West Palm Beach FL,
West Palm Beach/Fort Pierce,West Palm Beach FL,
WEST PALM BEACH-FT. PIERCE,West Palm Beach FL,
West Palm Beach-Ft. Pierce FL,West Palm Beach FL,
Wheeling WV-Steubenville OH,Wheeling-Steubenville,
Wheeling/Steubenville,Wheeling-Steubenville,
Wheeling-Steubenville,Wheeling-Steubenville,
WHEELING-STEUBENVILLE,Wheeling-Steubenville,
Wichita Falls & Lawton,Wichita Falls & Lawton,
WICHITA FALLS & LAWTON,Wichita Falls & Lawton,
Wichita Falls TX And Lawton OK,Wichita Falls & Lawton,
Wichita Falls/Lawton,Wichita Falls & Lawton,
Wichita KS,Wichita KS,
Wichita/Hutchinson,Wichita KS,
Wichita-Hutchinson KS,Wichita KS,
WICHITA-HUTCHINSON PLUS,Wichita KS,
Wilkes Barre PA,Wilkes Barre PA,
Wilkes Barre/Scranton,Wilkes Barre PA,
WILKES BARRE-SCRANTON,Wilkes Barre PA,
Wilkes Barre-Scranton PA,Wilkes Barre PA,
Wilmington,Wilmington,
WILMINGTON,Wilmington,
Wilmington NC,Wilmington,
Yakima/Pasco/Richland/Kennewick,Yakima-Pasco-Rchlnd-Knnwck,
Yakima-Pasco-Rchlnd-Knnwck,Yakima-Pasco-Rchlnd-Knnwck,
YAKIMA-PASCO-RCHLND-KNNWCK,Yakima-Pasco-Rchlnd-Knnwck,
Yakima-Pasco-Richland-Kennewick WA,Yakima-Pasco-Rchlnd-Knnwck,
Youngstown,Youngstown,
YOUNGSTOWN,Youngstown,
Youngstown OH,Youngstown,
Yuma AZ-El Centro CA,Yuma-El Centro,
Yuma/El Centro,Yuma-El Centro,
Yuma-El Centro,Yuma-El Centro,
YUMA-EL CENTRO,Yuma-El Centro,
Zanesville,Zanesville,
ZANESVILLE,Zanesville,
Zanesville OH,Zanesville,
