DMA_name,DMA name Cleanup,DMA ID,
Rch-Masn Cy-Aus,ROCHESTR-MASON CITY-AUSTIN,611,
Reno,,811,
Richmond-Ptrsbg,RICHMOND-PETERSBURG,556,
Roanoke-Lnchbrg,ROANOKE-LYNCHBURG,573,
"Rochester, NY",,538,
Rockford,,610,
Sacramento,SACRAMNTO-STKTON-MODESTO,862,
Salisbury,,576,
Salt Lake City,,770,
San Angelo,,661,
San Antonio,,641,
San Diego,,825,
San Fran-Oak-Sj,SAN FRANCISCO-OAK-SAN JOSE,807,
Santabar-Sm-Slo,SANTABARBRA-SANMAR-SANLUOB,855,
Savannah,,507,
Seattle-Tacoma,,819,
Sherman-Ada,,657,
Shreveport,,612,
Sioux City,,624,
Sioux Fls(Mchl),SIOUX FALLS(MITCHELL),725,
So. Bend-Elkhrt,SOUTH BEND-ELKHART,588,
Spokane,,881,
"Springfield, MO",,619,
Springfld-Hlyok,SPRINGFIELD-HOLYOKE,543,
St. Joseph,,638,
St. Louis,,609,
Syracuse,,555,
Tallhsee-Thmsvl,TALLAHASSEE-THOMASVILLE,530,
Tampa-St P(Sar),TAMPA-ST. PETE (SARASOTA),539,
Terre Haute,,581,
Toledo,,547,
Topeka,,605,
Travrs Cty-Cdlc,TRAVERSE CITY-CADILLAC,540,
"Tri-Cties, TN-VA","TRI-CITIES, TN-VA",531,
Tucson (S Vsta),TUCSON (SIERRA VISTA),789,
Tulsa,,671,
Twin Falls,,760,
Tyler-Longview,TYLER-LONGVIEW(LFKN&NCGD),709,
Utica,,526,
Victoria,,626,
Waco-Templ-Bryn,WACO-TEMPLE-BRYAN,625,
"Wash, DC (Hag)","WASHINGTON, DC (HAGRSTWN)",511,
Watertown,,549,
Wausau-Rhineldr,WAUSAU-RHINELANDER,705,
West Plm BCh-Fp,WEST PALM BEACH-FT. PIERCE,548,
Wheeling-Steub.,WHEELING-STEUBENVILLE,554,
Wichta Fls&Lwtn,WICHITA FALLS & LAWTON,627,
Wichta-Htch Pls,WICHITA-HUTCHINSON PLUS,678,
Wilkes Bar-Scr,WILKES BARRE-SCRANTON-HZTN,577,
Wilmington,,550,
Yakm-Psc-Rch-Kn,YAKIMA-PASCO-RCHLND-KNNWCK,810,
Youngstown,,536,
Zanesville,,596,
Yuma-El Centro,YUMA-EL CENTRO,771,
Binghamton,BINGHAMTON,502,
National,,National,
